blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""080870001002""","""Fort Morgan, CO""",1,467,166,106064.69,68,80,61,34,43,31,34,38,30,11.42,0.02,2.32,2,2,26088,23629,25928,1,1,1,16330,14601,16390,12633,11249,12714,3675,3330,3653,21,22,23,18,19,20,0.4,0.3,0.26,0,450,82,527,78,922,1,7447,1374,1625,775,70,30
"""080899684001""",,1,1000,432,612970.33,78,94,51,35,44,21,43,51,30,9.3,0.01,2.08,2,2,23246,21034,25295,2,2,2,14035,13095,16017,10719,10088,12413,3276,2964,3563,40,44,40,34,37,34,0.8,1.2,0.94,0,340,73,368,76,847,1,5517,943,1117,553,69,31
"""080899683001""",,1,784,290,4375.48,83,99,53,44,55,27,38,44,27,10.34,0.69,1.78,2,2,22473,20085,24681,1,1,1,12367,11260,14402,9184,8413,10907,3167,2830,3477,16,17,18,13,14,15,3,3.5,2.6,0.07,1741,74,1512,80,36,32,1366,1193,1193,,81,19
"""080899680001""",,1,967,389,9722.56,73,87,47,32,41,19,40,46,28,9.75,0.39,1.87,2,2,23088,20970,25154,1,2,1,12938,11899,14986,9659,8914,11418,3254,2955,3543,26,30,24,22,26,21,2.5,0.6,2.08,0.04,608,87,541,78,59,20,1693,874,971,638,71,29
"""080919676004""",,1,1633,702,82722.88,54,64,62,29,36,33,25,28,29,10.21,0.09,2.15,2,2,23843,21359,25373,2,1,2,15657,13962,15465,12267,10928,11861,3360,3009,3574,30,25,30,25,22,25,1.6,0.2,1.4,0.01,350,70,411,78,412,4,3463,1485,1668,1081,69,31
"""080959677001""",,1,683,262,111797.27,57,66,47,21,26,17,36,40,30,10.73,0.03,2.21,2,2,25047,22693,25620,2,2,2,15598,13904,16061,12033,10668,12413,3528,3198,3609,37,38,39,32,33,33,0.7,1,1.43,0,278,85,321,75,460,2,4552,768,866,488,74,26
"""080970001004""","""Glenwood Springs, CO""",1,1012,391,149967.9,80,98,89,51,63,56,30,34,32,11.75,0.03,2.55,2,3,27080,24271,26712,1,1,1,17731,16467,17438,13892,13031,13654,3815,3419,3763,24,17,21,20,14,18,0,0.2,0.34,0,452,92,466,78,1363,1,6739,2533,2533,,95,5
"""080970005002""","""Glenwood Springs, CO""",1,617,338,281699.67,56,67,61,29,36,32,27,31,29,9.64,0.01,2.28,2,2,25715,23248,25324,1,1,1,16042,14940,15708,12393,11641,12114,3623,3275,3567,26,24,26,22,20,22,1.2,0.5,0.6,0,436,69,583,78,1189,1,6776,1446,,1446,60,40
"""080970001005""","""Glenwood Springs, CO""",1,1806,840,50427,56,68,62,33,41,37,23,26,25,9.2,0.15,1.91,2,2,23911,21184,23535,2,2,2,13818,12682,13490,10408,9665,10133,3368,2984,3315,41,32,42,35,28,35,4.3,0.9,2.42,0.02,437,26,642,78,494,3,3835,1653,1999,1260,53,47
"""080970001001""","""Glenwood Springs, CO""",1,2490,987,34571.44,66,79,72,41,51,45,25,29,27,10.47,0.3,2.08,2,2,25103,22475,24725,2,1,2,14876,13677,14545,11307,10484,11029,3536,3166,3483,33,27,33,28,23,28,2.8,0.4,3.82,0.03,423,54,521,78,301,4,2846,2031,2266,1602,65,35
"""080970001002""","""Glenwood Springs, CO""",1,1054,356,53104.16,70,85,77,43,54,48,27,31,29,11.58,0.08,2.26,2,2,26052,23428,25674,2,1,2,16000,14812,15682,12301,11489,12038,3670,3300,3617,29,23,27,24,20,23,0.6,0.7,2.12,0.01,416,72,557,78,948,1,5053,2166,1909,2861,73,27
"""080970001003""","""Glenwood Springs, CO""",1,1621,677,11457.91,,,,,,,23,26,25,10.46,0.62,1.91,2,2,24729,22224,24324,1,1,1,13890,12685,13534,10387,9538,10088,3484,3131,3427,20,16,20,17,13,17,3.8,5.8,1.82,0.06,1314,60,1987,80,127,8,3025,,,,58,42
"""080990006002""",,1,902,326,2513.31,58,67,45,24,31,18,34,37,27,10.04,1.3,1.88,2,2,23113,20913,24247,2,2,2,13505,11846,14354,10218,8866,10907,3256,2947,3416,31,32,32,26,28,27,3.8,0.6,2.27,0.13,490,81,441,77,22,42,1079,820,946,519,71,29
"""080990001002""",,1,657,290,17322.94,62,72,48,26,32,19,36,40,29,10.17,0.17,2.04,2,2,24274,22082,25409,1,2,1,14544,12903,15362,11098,9762,11756,3420,3112,3579,26,29,27,22,25,23,2,0.3,1.07,0.02,398,87,420,77,117,8,2471,866,911,771,68,32
"""080990006001""",,1,456,195,310395.67,70,83,54,32,40,24,38,43,30,10.14,0.01,2.2,2,2,24229,21936,25366,3,3,3,15443,13816,16218,11983,10678,12597,3413,3091,3573,46,48,48,39,41,41,0.5,2,0.17,0,242,80,277,74,761,1,5870,1064,1250,564,73,27
"""080990007001""",,1,1047,369,581584.48,62,73,48,24,30,18,38,42,30,10.16,0.01,2.17,2,2,24041,21696,25201,2,2,2,15259,13652,16029,11830,10550,12433,3387,3057,3550,43,44,45,37,38,39,0.8,1.1,0.59,0,266,70,299,75,926,1,5700,816,914,583,70,30
"""080990007002""",,1,987,422,49846.52,71,83,54,34,43,25,37,41,29,10.08,0.09,2.07,2,2,24236,21692,25477,2,1,2,14722,13031,15539,11279,9947,11918,3414,3057,3589,29,27,32,24,23,27,1.1,1.2,0.43,0.01,514,71,532,77,285,4,4186,1142,1142,,82,18
"""080990001001""",,1,681,261,83986.58,66,78,51,28,35,21,38,42,30,10.68,0.03,2.18,2,2,24579,22155,25772,2,2,2,15345,13652,16152,11850,10496,12486,3463,3122,3631,33,33,35,28,28,30,0.5,1.1,0.11,0,345,83,375,76,408,2,4993,945,971,833,81,19
"""081010020001""","""Pueblo, CO""",1,728,361,164.56,49,56,40,20,25,16,29,31,24,6.88,15.1,1.66,1,2,20551,18679,21856,1,2,1,11928,10228,12939,9022,7580,9853,2895,2632,3079,11,16,7,17,26,11,5.6,4.1,4.31,2.19,10858,95,13966,88,5,217,479,700,669,747,60,40
"""081010028021""","""Pueblo, CO""",1,913,337,448.38,65,77,52,35,44,27,31,33,25,10.14,7.62,1.75,2,2,22082,19828,23457,1,2,1,12640,10912,13612,9516,8102,10295,3111,2794,3304,13,16,13,22,26,21,3.7,4.7,1.04,0.75,7782,89,5507,84,18,50,1220,1200,1326,859,73,27
"""081010029011""","""Pueblo, CO""",1,1001,357,105.57,46,52,37,20,25,15,26,27,21,,,1.46,1,2,18097,16311,19363,3,4,3,10533,9001,11515,7952,6668,8761,2549,2299,2728,31,35,27,51,57,44,7.7,7.2,4.28,3.38,10438,63,12824,86,3,321,570,688,,688,42,58
"""081010028073""","""Pueblo, CO""",1,2783,1028,553.34,66,78,53,37,46,28,29,31,24,9.67,17.96,1.69,1,2,20860,18412,22261,2,2,2,12132,10351,13105,9176,7740,9952,2939,2595,3136,17,17,17,28,28,28,4.3,6.5,3.21,1.86,10636,77,5931,84,8,131,835,1277,1327,979,86,14
"""081010036002""","""Pueblo, CO""",1,587,248,333228.06,69,82,55,31,39,24,38,43,31,9.46,0.01,2.28,2,2,24658,22160,26033,1,1,1,15884,14193,16731,12400,11059,13051,3474,3123,3667,11,11,12,18,18,19,0.3,0.9,0.81,0,585,82,637,78,643,1,4809,1065,1140,755,81,19
"""081010036001""","""Pueblo, CO""",1,1722,541,38758.28,58,67,46,25,31,19,32,36,27,9.55,0.13,1.86,2,2,23114,21034,24395,1,2,1,13396,11821,14290,10129,8842,10844,3256,2964,3437,11,15,9,18,24,14,3.1,1.8,2.07,0.01,1758,71,1909,82,224,4,2830,866,961,764,52,48
"""081010032001""","""Pueblo, CO""",1,1261,451,11117.46,83,99,65,47,58,36,37,41,30,11.04,0.45,2.14,2,2,24925,22235,26394,0,0,0,15165,13379,16064,11654,10245,12346,3511,3133,3718,0,0,0,0,0,0,0.4,0.2,0.16,0.04,1333,87,1311,82,166,8,3673,1601,1601,,92,8
"""081010002002""","""Pueblo, CO""",1,1058,360,462.68,55,64,44,27,33,20,28,30,23,8.51,6.62,1.61,1,2,20083,18315,21344,2,3,2,11622,10003,12616,8774,7397,9594,2829,2581,3007,19,25,15,31,40,25,5.7,6.8,2.53,0.78,10996,95,12679,86,7,127,850,918,877,962,52,48
"""081010029111""","""Pueblo, CO""",1,2813,932,4394.05,79,94,62,45,56,34,34,38,28,11.42,2.42,1.99,2,2,24144,21575,25563,0,0,1,14234,12439,15172,10828,9395,11565,3401,3040,3601,4,4,6,7,6,10,1,1.3,0.4,0.21,2337,99,1176,80,38,34,1669,1540,1553,1313,95,5
"""081010032003""","""Pueblo, CO""",1,1215,459,16414.29,61,71,48,25,31,19,36,40,29,10.67,0.3,2.07,2,2,24701,22338,26052,1,1,1,14775,13087,15670,11287,9930,11991,3480,3148,3670,8,9,9,13,15,14,0.9,0.6,0.98,0.03,666,93,675,79,178,6,3159,855,855,,78,22
"""081010029062""","""Pueblo, CO""",1,2185,722,15416.75,82,96,64,45,56,34,37,41,30,11.96,0.56,2.15,2,2,25082,22452,26501,0,0,1,15237,13432,16138,11699,10264,12398,3533,3164,3733,5,4,7,8,6,11,0.1,1.1,0.3,0.05,1140,100,871,79,193,8,3115,1535,1535,,97,3
"""081010029032""","""Pueblo, CO""",1,4844,1708,5937.41,62,73,50,32,40,25,30,33,25,10.6,3.05,1.72,2,2,22531,20444,23802,1,2,1,12560,10891,13500,9373,7994,10137,3174,2881,3353,13,16,10,20,26,17,4.6,2.1,3.72,0.29,2177,63,2358,83,59,22,1903,1101,1156,1028,57,43
"""081010028043""","""Pueblo, CO""",1,981,362,110833.93,90,107,70,51,64,39,39,43,31,10.91,0.04,2.28,2,2,24775,22112,26187,1,1,1,15898,14142,16745,12398,11017,13044,3490,3116,3689,10,9,12,17,15,20,0,0.7,0.01,0,911,83,597,78,827,2,6501,1761,1761,,92,8
