GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME_E,AF2AE001,AF2AE002,AF2AE003,AF2AE004,AF2AE005,AF2AE006,AF2AE007,AF2AE008,AF2AE009,AF2AE010,AF2AE011,AF2AE012,AF2AE013,AF2AE014,AF2AE015,AF2AE016,AF2AE017,AF2AE018,AF2AE019,AF2AE020,AF2AE021,AF2AE022,AF2AE023,AF2AE024,AF2AE025,AF2AE026,AF2AE027,AF2AE028,AF2AE029,AF2AE030,AF2AE031,AF2AE032,AF2AE033,AF2AE034,AF2AE035,AF2AE036,AF2AE037,AF2AE038,AF2AE039,AF2AE040,AF2AE041,AF2AE042,AF2AE043,AF2AE044,AF2AE045,AF2AE046,AF2AE047,AF2AE048,AF2AE049
G08000500801002,2012-2016,Colorado,8,Arapahoe County,5,80100,"Block Group 2, Census Tract 801, Arapahoe County, Colorado",1237,619,55,95,20,0,10,53,0,17,10,18,40,0,91,8,19,50,79,0,8,8,38,0,0,618,10,18,73,95,7,0,0,43,39,27,37,58,63,5,17,22,14,37,0,38,0,15,0
G08000500801003,2012-2016,Colorado,8,Arapahoe County,5,80100,"Block Group 3, Census Tract 801, Arapahoe County, Colorado",2125,1030,78,10,48,36,61,39,28,16,50,160,26,101,15,120,56,26,28,26,37,26,8,26,9,1095,102,123,125,11,0,24,8,58,54,80,104,68,65,38,117,20,23,15,15,26,0,0,19
G08000500802001,2012-2016,Colorado,8,Arapahoe County,5,80200,"Block Group 1, Census Tract 802, Arapahoe County, Colorado",1175,601,28,0,28,8,0,0,18,53,22,20,119,29,8,39,58,16,27,16,8,34,31,21,18,574,46,41,42,11,0,53,0,13,0,46,12,27,16,38,10,19,100,7,8,0,60,8,17
G08000500802002,2012-2016,Colorado,8,Arapahoe County,5,80200,"Block Group 2, Census Tract 802, Arapahoe County, Colorado",2097,969,31,70,31,32,61,0,0,53,51,131,90,78,38,108,85,0,15,14,6,16,20,0,39,1128,94,37,138,42,9,26,0,120,56,70,54,83,89,67,89,21,33,14,17,9,35,9,16
G08000500802003,2012-2016,Colorado,8,Arapahoe County,5,80200,"Block Group 3, Census Tract 802, Arapahoe County, Colorado",1220,590,19,48,18,45,22,6,18,41,67,8,22,42,44,23,26,12,10,41,7,7,18,38,8,630,18,10,9,17,37,8,0,16,27,61,20,10,85,28,83,16,54,8,24,41,30,16,12
G08000500802004,2012-2016,Colorado,8,Arapahoe County,5,80200,"Block Group 4, Census Tract 802, Arapahoe County, Colorado",1058,559,37,50,42,0,11,0,4,19,28,21,27,21,26,36,70,34,27,8,24,19,38,17,0,499,20,10,0,0,4,0,0,0,36,18,77,20,13,48,37,18,30,24,28,35,9,63,9
G08000500803001,2012-2016,Colorado,8,Arapahoe County,5,80300,"Block Group 1, Census Tract 803, Arapahoe County, Colorado",895,406,27,10,0,11,0,0,0,0,0,12,2,0,37,25,51,0,16,11,0,109,17,53,25,489,0,0,11,13,10,0,0,16,59,12,11,28,47,10,32,0,0,12,83,132,0,0,13
G08000500803002,2012-2016,Colorado,8,Arapahoe County,5,80300,"Block Group 2, Census Tract 803, Arapahoe County, Colorado",1837,1017,56,98,29,47,0,0,62,84,73,30,0,126,69,124,34,14,17,32,19,76,27,0,0,820,26,35,20,36,12,0,0,96,73,54,0,113,104,75,28,0,25,27,73,0,12,11,0
G08000500803003,2012-2016,Colorado,8,Arapahoe County,5,80300,"Block Group 3, Census Tract 803, Arapahoe County, Colorado",2208,998,32,104,33,63,69,0,0,14,86,57,66,42,95,77,89,15,45,25,49,26,0,11,0,1210,27,69,37,42,37,14,70,58,87,46,50,90,137,80,204,58,26,15,15,37,11,0,0
G08000500803004,2012-2016,Colorado,8,Arapahoe County,5,80300,"Block Group 4, Census Tract 803, Arapahoe County, Colorado",667,236,0,7,44,0,0,0,0,0,51,0,43,37,16,0,0,0,15,10,0,13,0,0,0,431,42,18,84,0,0,0,0,0,0,67,85,14,8,31,0,33,11,12,0,12,14,0,0
G08000500804001,2012-2016,Colorado,8,Arapahoe County,5,80400,"Block Group 1, Census Tract 804, Arapahoe County, Colorado",927,404,7,43,21,1,0,0,0,0,17,38,68,64,2,35,21,11,15,35,8,3,8,7,0,523,4,38,58,0,21,16,0,6,30,65,25,52,29,62,29,16,8,8,27,22,0,0,7
G08000500804002,2012-2016,Colorado,8,Arapahoe County,5,80400,"Block Group 2, Census Tract 804, Arapahoe County, Colorado",2102,1078,19,28,88,111,79,51,19,33,18,69,36,85,92,51,48,20,82,48,14,46,41,0,0,1024,36,30,121,21,12,0,0,58,9,29,83,75,85,108,45,20,59,28,44,95,9,9,48
G08000500804003,2012-2016,Colorado,8,Arapahoe County,5,80400,"Block Group 3, Census Tract 804, Arapahoe County, Colorado",896,480,10,33,51,11,14,0,0,0,97,39,0,36,16,28,26,39,42,25,0,0,0,13,0,416,8,16,0,11,0,0,9,0,26,44,11,34,19,30,16,23,42,14,42,16,48,7,0
G08000500804004,2012-2016,Colorado,8,Arapahoe County,5,80400,"Block Group 4, Census Tract 804, Arapahoe County, Colorado",1006,554,19,37,12,15,22,0,0,32,25,49,35,12,95,16,20,40,26,0,38,27,15,19,0,452,5,9,16,19,0,0,0,18,10,3,20,40,37,0,88,50,40,0,22,39,28,0,8
G08000500805001,2012-2016,Colorado,8,Arapahoe County,5,80500,"Block Group 1, Census Tract 805, Arapahoe County, Colorado",2286,969,29,57,31,0,40,0,0,76,33,107,87,36,36,80,76,33,43,37,47,34,31,30,26,1317,70,74,68,44,48,26,0,23,46,74,18,89,79,122,71,66,129,45,97,41,39,23,25
G08000500805002,2012-2016,Colorado,8,Arapahoe County,5,80500,"Block Group 2, Census Tract 805, Arapahoe County, Colorado",1406,625,38,0,33,19,8,12,0,8,79,77,13,64,36,18,60,7,11,52,42,16,14,18,0,781,0,0,18,31,25,0,0,34,59,70,63,71,35,59,52,29,28,33,42,42,38,34,18
G08000500806001,2012-2016,Colorado,8,Arapahoe County,5,80600,"Block Group 1, Census Tract 806, Arapahoe County, Colorado",997,534,11,27,34,8,35,0,0,37,44,67,77,27,40,25,0,0,62,0,23,0,8,9,0,463,27,0,33,0,32,0,9,17,56,10,139,6,9,0,34,0,36,13,10,16,8,8,0
G08000500806002,2012-2016,Colorado,8,Arapahoe County,5,80600,"Block Group 2, Census Tract 806, Arapahoe County, Colorado",1283,596,20,8,49,14,0,0,0,9,19,58,116,61,27,65,29,61,26,6,8,7,0,0,13,687,0,27,27,15,0,0,0,34,27,30,103,37,93,52,73,15,37,15,27,45,15,8,7
G08000500806003,2012-2016,Colorado,8,Arapahoe County,5,80600,"Block Group 3, Census Tract 806, Arapahoe County, Colorado",832,364,41,0,35,26,0,30,6,8,21,83,40,10,0,18,0,9,7,21,0,9,0,0,0,468,0,29,39,0,0,0,0,18,13,10,45,15,81,13,43,21,31,45,23,26,8,0,8
G08000500807001,2012-2016,Colorado,8,Arapahoe County,5,80700,"Block Group 1, Census Tract 807, Arapahoe County, Colorado",1792,818,16,30,122,12,11,0,9,45,127,43,55,49,0,99,53,15,31,13,20,29,16,16,7,974,115,71,33,13,30,6,0,19,108,40,76,20,29,127,60,17,34,19,24,13,18,68,34
G08000500807002,2012-2016,Colorado,8,Arapahoe County,5,80700,"Block Group 2, Census Tract 807, Arapahoe County, Colorado",1563,788,43,51,82,47,23,0,0,9,63,89,19,103,24,74,80,11,0,0,29,3,1,10,27,775,77,46,4,49,19,0,41,25,60,28,47,46,49,56,53,0,31,8,19,22,12,26,57
G08000500807003,2012-2016,Colorado,8,Arapahoe County,5,80700,"Block Group 3, Census Tract 807, Arapahoe County, Colorado",2240,1174,65,21,66,56,92,56,0,0,69,135,19,57,165,48,49,74,42,8,23,20,99,10,0,1066,29,42,175,58,5,0,0,0,31,82,32,178,101,22,14,56,140,6,25,24,46,0,0
G08000500808001,2012-2016,Colorado,8,Arapahoe County,5,80800,"Block Group 1, Census Tract 808, Arapahoe County, Colorado",2537,1254,190,229,75,50,16,5,0,48,126,93,57,112,80,29,41,18,30,5,6,28,14,2,0,1283,225,56,107,58,26,5,0,142,112,110,105,51,87,21,44,31,38,6,0,19,31,9,0
G08000500808002,2012-2016,Colorado,8,Arapahoe County,5,80800,"Block Group 2, Census Tract 808, Arapahoe County, Colorado",1007,415,14,37,33,38,0,10,0,23,45,22,6,9,45,28,32,0,20,0,0,25,19,9,0,592,54,46,71,40,15,38,17,14,44,12,37,45,18,24,39,0,14,19,8,6,22,9,0
G08000500809001,2012-2016,Colorado,8,Arapahoe County,5,80900,"Block Group 1, Census Tract 809, Arapahoe County, Colorado",2594,1305,166,93,130,19,36,0,58,47,136,35,86,136,48,103,49,10,53,0,34,18,29,10,9,1289,114,129,66,61,25,0,0,108,60,66,125,94,86,44,95,0,53,29,17,26,64,7,20
G08000500809002,2012-2016,Colorado,8,Arapahoe County,5,80900,"Block Group 2, Census Tract 809, Arapahoe County, Colorado",2159,1224,59,163,153,51,0,5,37,39,14,92,100,70,84,69,95,0,16,18,30,48,0,59,22,935,53,50,73,5,22,29,0,34,57,26,86,69,29,62,74,28,19,35,26,28,97,10,23
G08000500810001,2012-2016,Colorado,8,Arapahoe County,5,81000,"Block Group 1, Census Tract 810, Arapahoe County, Colorado",1122,660,74,39,10,64,0,0,0,49,78,11,62,29,22,33,8,24,104,11,12,9,9,0,12,462,36,0,14,0,25,0,36,14,25,33,0,79,47,25,13,0,0,40,43,32,0,0,0
G08000500810002,2012-2016,Colorado,8,Arapahoe County,5,81000,"Block Group 2, Census Tract 810, Arapahoe County, Colorado",1448,686,101,50,167,0,14,0,0,13,32,77,0,46,32,39,32,0,16,14,32,0,21,0,0,762,83,127,38,46,0,0,0,15,146,83,47,0,0,0,42,14,12,0,40,0,11,0,58
G08000500810003,2012-2016,Colorado,8,Arapahoe County,5,81000,"Block Group 3, Census Tract 810, Arapahoe County, Colorado",1896,602,22,0,56,4,4,0,53,58,15,12,119,36,64,9,98,0,14,12,0,17,9,0,0,1294,146,33,150,79,133,15,0,16,85,96,66,179,0,76,88,61,34,0,26,0,11,0,0
G08000500810004,2012-2016,Colorado,8,Arapahoe County,5,81000,"Block Group 4, Census Tract 810, Arapahoe County, Colorado",1529,745,134,124,77,13,1,0,56,34,57,52,54,45,19,26,49,0,0,4,0,0,0,0,0,784,115,13,172,40,54,41,0,131,36,32,35,26,44,0,17,16,0,0,0,0,0,0,12
G08000500811001,2012-2016,Colorado,8,Arapahoe County,5,81100,"Block Group 1, Census Tract 811, Arapahoe County, Colorado",1214,520,132,81,0,43,0,0,0,69,66,0,34,19,35,41,0,0,0,0,0,0,0,0,0,694,34,99,12,0,0,0,85,126,17,67,112,69,0,0,16,57,0,0,0,0,0,0,0
G08000500811002,2012-2016,Colorado,8,Arapahoe County,5,81100,"Block Group 2, Census Tract 811, Arapahoe County, Colorado",1089,587,116,42,11,4,0,0,0,35,54,81,23,39,53,43,9,0,0,35,13,0,29,0,0,502,51,25,20,51,0,0,0,0,74,23,34,22,65,48,29,0,0,0,0,60,0,0,0
G08000500811003,2012-2016,Colorado,8,Arapahoe County,5,81100,"Block Group 3, Census Tract 811, Arapahoe County, Colorado",1735,855,76,15,82,16,21,30,40,121,32,87,56,43,65,9,28,0,75,8,0,23,0,14,14,880,62,0,0,27,46,0,44,131,52,19,0,156,31,55,50,20,30,51,0,64,14,28,0
G08000500811004,2012-2016,Colorado,8,Arapahoe County,5,81100,"Block Group 4, Census Tract 811, Arapahoe County, Colorado",2004,804,104,47,28,0,0,0,0,82,89,125,74,81,36,0,56,39,13,16,14,0,0,0,0,1200,66,48,176,51,0,0,11,61,248,146,91,61,0,16,95,42,74,0,0,14,0,0,0
G08000500812001,2012-2016,Colorado,8,Arapahoe County,5,81200,"Block Group 1, Census Tract 812, Arapahoe County, Colorado",1778,864,120,13,32,3,0,0,39,27,138,90,96,51,76,31,29,16,58,6,9,8,12,10,0,914,17,56,39,16,0,0,33,8,149,67,76,44,120,64,35,19,44,24,10,43,21,19,10
G08000500812002,2012-2016,Colorado,8,Arapahoe County,5,81200,"Block Group 2, Census Tract 812, Arapahoe County, Colorado",1625,809,99,44,143,36,24,0,0,56,93,33,32,60,23,35,53,0,0,27,20,0,31,0,0,816,127,69,6,30,0,0,24,54,111,62,91,71,70,32,42,0,27,0,0,0,0,0,0
G08000500812003,2012-2016,Colorado,8,Arapahoe County,5,81200,"Block Group 3, Census Tract 812, Arapahoe County, Colorado",985,494,22,104,10,10,0,0,0,7,37,40,34,55,33,42,49,9,0,7,0,35,0,0,0,491,55,8,34,0,0,0,0,7,75,65,64,9,54,28,10,0,0,10,9,63,0,0,0
G08000500813001,2012-2016,Colorado,8,Arapahoe County,5,81300,"Block Group 1, Census Tract 813, Arapahoe County, Colorado",1277,645,13,13,46,30,12,0,9,41,65,41,65,58,43,31,63,20,28,20,11,31,5,0,0,632,56,82,41,0,0,0,0,0,26,106,0,69,23,75,49,7,15,15,15,42,11,0,0
G08000500813002,2012-2016,Colorado,8,Arapahoe County,5,81300,"Block Group 2, Census Tract 813, Arapahoe County, Colorado",1876,702,0,111,38,38,15,0,45,10,82,21,99,5,38,64,35,43,6,10,0,16,16,0,10,1174,39,108,81,111,37,0,45,10,155,56,119,49,93,20,52,55,32,46,7,44,0,5,10
G08000500814001,2012-2016,Colorado,8,Arapahoe County,5,81400,"Block Group 1, Census Tract 814, Arapahoe County, Colorado",647,282,15,0,10,8,0,0,11,49,20,0,19,13,10,13,25,6,3,25,14,0,9,4,28,365,0,0,9,12,7,6,7,18,18,0,19,0,8,32,34,6,5,0,3,17,32,44,88
G08000500814002,2012-2016,Colorado,8,Arapahoe County,5,81400,"Block Group 2, Census Tract 814, Arapahoe County, Colorado",1011,443,13,19,31,37,0,0,10,0,21,18,13,109,18,1,16,0,11,12,47,0,8,30,29,568,16,13,24,13,0,9,0,13,37,18,46,31,14,20,59,0,0,6,13,20,0,54,162
G08000500814003,2012-2016,Colorado,8,Arapahoe County,5,81400,"Block Group 3, Census Tract 814, Arapahoe County, Colorado",1257,686,67,23,57,62,27,8,13,36,47,44,26,40,105,19,43,8,7,26,5,23,0,0,0,571,14,57,65,64,15,6,0,40,31,31,50,49,59,24,30,0,0,10,0,21,0,5,0
G08000500814004,2012-2016,Colorado,8,Arapahoe County,5,81400,"Block Group 4, Census Tract 814, Arapahoe County, Colorado",1149,523,32,18,15,42,0,8,0,20,9,32,10,76,21,29,9,41,45,10,21,17,42,26,0,626,23,45,28,40,5,10,0,6,0,12,20,90,51,21,38,31,33,0,56,37,62,18,0
G08000500815001,2012-2016,Colorado,8,Arapahoe County,5,81500,"Block Group 1, Census Tract 815, Arapahoe County, Colorado",1376,406,0,0,0,0,0,0,0,0,0,0,0,0,36,0,22,36,14,42,0,51,15,131,59,970,0,0,0,0,0,0,0,0,0,0,0,14,0,14,34,0,141,59,67,184,150,233,74
G08000500815002,2012-2016,Colorado,8,Arapahoe County,5,81500,"Block Group 2, Census Tract 815, Arapahoe County, Colorado",1714,658,0,0,0,0,0,0,0,0,14,0,0,0,0,0,45,28,31,56,27,79,142,69,167,1056,0,0,0,0,10,0,0,0,9,0,14,0,0,31,16,14,0,28,98,172,272,172,220
G08000500816001,2012-2016,Colorado,8,Arapahoe County,5,81600,"Block Group 1, Census Tract 816, Arapahoe County, Colorado",638,274,0,0,0,0,0,0,0,24,6,0,0,21,0,10,5,0,35,0,19,27,24,47,56,364,8,0,0,0,0,0,0,0,21,7,9,0,0,9,36,0,19,5,9,34,6,34,167
G08000500816002,2012-2016,Colorado,8,Arapahoe County,5,81600,"Block Group 2, Census Tract 816, Arapahoe County, Colorado",1419,758,17,90,77,11,38,19,0,19,131,50,48,84,27,0,56,15,0,30,0,23,15,8,0,661,13,48,100,4,19,6,0,8,50,163,10,72,9,59,44,0,0,20,18,8,10,0,0
G08000500816003,2012-2016,Colorado,8,Arapahoe County,5,81600,"Block Group 3, Census Tract 816, Arapahoe County, Colorado",1652,812,85,48,94,34,12,0,0,21,62,54,41,49,62,61,13,45,16,27,28,13,7,26,14,840,38,64,70,27,16,0,8,25,106,59,26,64,61,59,75,38,32,10,17,13,22,10,0
G08000500816004,2012-2016,Colorado,8,Arapahoe County,5,81600,"Block Group 4, Census Tract 816, Arapahoe County, Colorado",1474,651,29,28,51,21,19,0,0,0,46,63,0,65,109,42,24,26,32,16,23,8,22,7,20,823,23,29,95,34,0,0,0,41,79,32,16,109,111,103,51,0,34,16,7,24,19,0,0
G08000500817001,2012-2016,Colorado,8,Arapahoe County,5,81700,"Block Group 1, Census Tract 817, Arapahoe County, Colorado",2156,1082,65,85,111,48,53,26,0,48,60,28,35,84,30,106,125,46,37,40,10,24,14,0,7,1074,31,66,94,66,26,0,24,26,19,28,77,108,67,108,116,48,51,11,54,33,0,0,21
G08000500817002,2012-2016,Colorado,8,Arapahoe County,5,81700,"Block Group 2, Census Tract 817, Arapahoe County, Colorado",823,376,14,10,30,5,11,9,29,0,8,20,13,27,14,28,69,6,41,19,6,11,0,6,0,447,49,34,12,22,16,0,0,8,0,7,25,16,65,19,34,36,37,21,5,17,11,6,7
G08000500818001,2012-2016,Colorado,8,Arapahoe County,5,81800,"Block Group 1, Census Tract 818, Arapahoe County, Colorado",3007,1436,240,146,82,89,0,30,15,39,176,66,178,150,112,100,0,0,0,0,0,0,9,0,4,1571,244,250,144,39,100,14,41,108,57,97,104,131,97,22,32,0,0,0,12,20,12,5,42
G08000500818002,2012-2016,Colorado,8,Arapahoe County,5,81800,"Block Group 2, Census Tract 818, Arapahoe County, Colorado",1108,502,44,55,44,14,15,10,0,6,40,50,9,39,32,37,42,30,8,0,27,0,0,0,0,606,56,44,32,55,0,22,0,38,91,16,19,47,36,58,40,0,0,0,12,28,0,0,12
G08000500818003,2012-2016,Colorado,8,Arapahoe County,5,81800,"Block Group 3, Census Tract 818, Arapahoe County, Colorado",1427,724,43,24,19,80,20,20,0,31,132,43,10,59,58,71,38,22,18,24,0,0,12,0,0,703,43,42,12,17,0,30,0,25,51,0,44,69,41,77,57,20,19,51,0,42,28,0,35
G08000500819001,2012-2016,Colorado,8,Arapahoe County,5,81900,"Block Group 1, Census Tract 819, Arapahoe County, Colorado",1349,695,76,146,13,0,0,0,0,17,0,59,24,149,95,0,16,0,64,0,0,15,0,0,21,654,24,75,0,71,76,0,0,64,2,1,79,102,0,35,60,17,0,19,0,0,13,15,1
G08000500819002,2012-2016,Colorado,8,Arapahoe County,5,81900,"Block Group 2, Census Tract 819, Arapahoe County, Colorado",1721,833,18,106,24,17,0,0,72,0,19,92,17,21,44,121,91,0,36,22,27,64,28,14,0,888,57,64,19,15,0,0,32,14,109,26,0,71,64,149,28,32,52,47,28,37,44,0,0
G08000500819003,2012-2016,Colorado,8,Arapahoe County,5,81900,"Block Group 3, Census Tract 819, Arapahoe County, Colorado",2438,1160,322,51,99,66,0,8,0,0,119,94,18,50,74,0,124,31,33,14,0,0,26,16,15,1278,68,283,64,0,0,0,0,192,135,21,29,66,147,17,62,0,0,16,15,0,37,111,15
G08000500819004,2012-2016,Colorado,8,Arapahoe County,5,81900,"Block Group 4, Census Tract 819, Arapahoe County, Colorado",1114,468,69,0,0,0,36,0,0,22,0,45,15,53,0,16,31,39,29,37,30,46,0,0,0,646,19,0,19,59,52,0,87,0,0,35,82,96,0,0,48,28,14,75,32,0,0,0,0
G08000500820001,2012-2016,Colorado,8,Arapahoe County,5,82000,"Block Group 1, Census Tract 820, Arapahoe County, Colorado",1840,954,107,83,47,17,0,9,44,134,78,137,55,75,31,48,21,0,18,50,0,0,0,0,0,886,102,117,14,36,0,24,14,138,52,52,60,27,17,28,129,0,8,31,0,0,0,0,37
G08000500820002,2012-2016,Colorado,8,Arapahoe County,5,82000,"Block Group 2, Census Tract 820, Arapahoe County, Colorado",1172,470,31,62,29,0,0,0,20,76,71,39,22,45,18,0,0,0,32,11,14,0,0,0,0,702,82,45,33,20,12,0,48,91,107,25,43,46,22,27,35,19,0,23,7,0,7,10,0
G08000500820003,2012-2016,Colorado,8,Arapahoe County,5,82000,"Block Group 3, Census Tract 820, Arapahoe County, Colorado",1186,534,47,24,34,48,0,0,0,6,55,34,74,69,11,26,37,19,18,8,7,17,0,0,0,652,56,93,44,0,0,0,10,66,27,35,54,48,43,28,30,7,15,0,46,33,0,7,10
G08000500821001,2012-2016,Colorado,8,Arapahoe County,5,82100,"Block Group 1, Census Tract 821, Arapahoe County, Colorado",1821,729,72,84,4,9,26,0,0,43,95,52,73,43,81,18,18,0,45,0,18,48,0,0,0,1092,0,151,126,48,22,0,27,15,100,35,17,136,11,132,21,96,13,0,99,19,24,0,0
G08000500821002,2012-2016,Colorado,8,Arapahoe County,5,82100,"Block Group 2, Census Tract 821, Arapahoe County, Colorado",3301,1448,174,107,64,24,20,17,20,66,88,109,62,125,45,91,113,79,88,32,6,107,11,0,0,1853,186,219,202,56,24,0,0,0,128,196,87,55,44,111,271,38,78,85,0,32,24,0,17
G08000500821003,2012-2016,Colorado,8,Arapahoe County,5,82100,"Block Group 3, Census Tract 821, Arapahoe County, Colorado",2077,1154,122,60,147,14,15,171,12,76,169,93,106,75,5,25,12,19,13,20,0,0,0,0,0,923,107,197,6,84,0,64,0,42,103,110,33,71,0,25,25,0,7,12,0,37,0,0,0
G08000500822001,2012-2016,Colorado,8,Arapahoe County,5,82200,"Block Group 1, Census Tract 822, Arapahoe County, Colorado",996,408,17,0,26,0,21,0,0,21,84,0,16,132,0,28,41,0,0,0,0,0,0,22,0,588,35,0,43,169,4,0,0,28,41,89,17,28,27,14,78,15,0,0,0,0,0,0,0
G08000500822002,2012-2016,Colorado,8,Arapahoe County,5,82200,"Block Group 2, Census Tract 822, Arapahoe County, Colorado",1175,559,0,36,0,0,16,0,20,90,56,76,3,89,0,94,55,0,0,24,0,0,0,0,0,616,10,0,47,80,19,0,56,0,26,130,42,0,16,34,49,13,25,0,25,0,44,0,0
G08000500822003,2012-2016,Colorado,8,Arapahoe County,5,82200,"Block Group 3, Census Tract 822, Arapahoe County, Colorado",2598,1340,143,90,79,76,54,0,0,47,117,151,199,30,99,51,100,11,12,50,0,0,0,31,0,1258,49,141,97,59,34,0,0,123,50,141,155,35,91,62,93,16,41,0,0,41,30,0,0
G08000500822004,2012-2016,Colorado,8,Arapahoe County,5,82200,"Block Group 4, Census Tract 822, Arapahoe County, Colorado",1121,698,41,38,0,0,66,0,0,52,44,31,21,0,74,52,146,40,8,28,0,39,18,0,0,423,35,38,18,0,0,0,0,0,52,8,9,0,49,60,45,0,31,78,0,0,0,0,0
G08000500823001,2012-2016,Colorado,8,Arapahoe County,5,82300,"Block Group 1, Census Tract 823, Arapahoe County, Colorado",701,346,8,26,14,10,20,0,0,21,37,27,50,14,60,9,8,18,0,0,6,18,0,0,0,355,27,38,31,16,13,0,0,47,39,16,35,0,46,14,7,0,6,0,0,12,0,0,8
G08000500823002,2012-2016,Colorado,8,Arapahoe County,5,82300,"Block Group 2, Census Tract 823, Arapahoe County, Colorado",2874,1370,139,119,54,49,67,8,0,61,194,179,62,114,63,69,74,10,32,7,29,17,23,0,0,1504,117,91,87,72,45,25,8,114,124,183,54,92,153,51,100,33,28,26,40,51,0,10,0
G08000500824001,2012-2016,Colorado,8,Arapahoe County,5,82400,"Block Group 1, Census Tract 824, Arapahoe County, Colorado",1733,899,63,77,83,41,7,26,39,0,48,36,24,117,39,49,76,8,49,20,13,41,22,21,0,834,26,75,28,48,41,0,26,36,27,60,56,22,95,75,28,24,52,12,18,43,20,10,12
G08000500824002,2012-2016,Colorado,8,Arapahoe County,5,82400,"Block Group 2, Census Tract 824, Arapahoe County, Colorado",1723,820,64,35,55,5,52,10,0,78,71,42,59,105,46,61,48,36,22,0,10,11,10,0,0,903,49,64,80,35,28,0,0,45,51,62,53,101,76,69,49,17,26,0,0,55,24,19,0
G08000500824003,2012-2016,Colorado,8,Arapahoe County,5,82400,"Block Group 3, Census Tract 824, Arapahoe County, Colorado",855,473,80,46,28,0,35,0,0,0,66,72,8,44,27,9,37,0,12,0,0,0,0,0,9,382,25,45,0,28,6,26,0,54,39,38,44,19,0,0,9,0,0,0,37,12,0,0,0
G08000500825001,2012-2016,Colorado,8,Arapahoe County,5,82500,"Block Group 1, Census Tract 825, Arapahoe County, Colorado",1241,595,60,59,34,0,0,26,0,21,56,23,46,70,10,28,49,25,12,16,11,26,0,16,7,646,62,31,18,19,52,47,0,18,50,31,55,49,10,34,48,27,11,4,40,10,20,10,0
G08000500825002,2012-2016,Colorado,8,Arapahoe County,5,82500,"Block Group 2, Census Tract 825, Arapahoe County, Colorado",1111,525,8,41,28,6,35,10,5,0,28,29,79,30,32,46,33,36,0,11,28,21,15,0,4,586,7,83,90,37,0,0,6,4,24,14,54,35,54,36,51,11,12,10,12,19,20,7,0
G08000500826001,2012-2016,Colorado,8,Arapahoe County,5,82600,"Block Group 1, Census Tract 826, Arapahoe County, Colorado",1355,872,44,148,23,24,18,0,0,147,119,79,20,52,1,46,80,58,0,13,0,0,0,0,0,483,40,0,30,1,0,12,21,23,35,48,100,21,21,53,51,14,13,0,0,0,0,0,0
G08000500826002,2012-2016,Colorado,8,Arapahoe County,5,82600,"Block Group 2, Census Tract 826, Arapahoe County, Colorado",765,397,0,89,13,0,0,0,0,30,13,92,0,47,44,14,12,18,8,0,0,11,6,0,0,368,0,16,0,0,0,0,0,10,68,15,0,56,123,18,31,0,7,0,24,0,0,0,0
G08000500826003,2012-2016,Colorado,8,Arapahoe County,5,82600,"Block Group 3, Census Tract 826, Arapahoe County, Colorado",994,471,116,8,56,0,0,0,0,21,11,38,12,105,28,13,24,0,0,0,39,0,0,0,0,523,0,24,55,0,0,0,12,0,59,37,82,8,79,40,37,9,15,0,10,23,0,0,33
G08000500826004,2012-2016,Colorado,8,Arapahoe County,5,82600,"Block Group 4, Census Tract 826, Arapahoe County, Colorado",2195,850,102,0,165,0,0,0,0,0,63,77,94,94,57,33,37,0,31,0,29,0,56,12,0,1345,350,46,160,0,0,37,52,11,74,155,0,179,126,47,48,0,33,6,0,11,10,0,0
G08000500827001,2012-2016,Colorado,8,Arapahoe County,5,82700,"Block Group 1, Census Tract 827, Arapahoe County, Colorado",1812,870,16,29,32,63,85,0,0,23,70,29,46,31,143,60,57,8,19,31,18,6,24,25,55,942,53,102,86,17,60,0,57,13,24,68,11,51,73,98,28,53,24,29,13,16,0,66,0
G08000500827002,2012-2016,Colorado,8,Arapahoe County,5,82700,"Block Group 2, Census Tract 827, Arapahoe County, Colorado",1690,859,97,62,83,55,0,0,59,22,26,82,79,65,37,74,9,13,35,0,8,15,13,25,0,831,24,39,0,12,80,16,0,0,102,77,76,41,35,181,40,45,22,0,10,7,24,0,0
G08000500828001,2012-2016,Colorado,8,Arapahoe County,5,82800,"Block Group 1, Census Tract 828, Arapahoe County, Colorado",1631,948,47,86,26,65,21,0,0,9,42,141,63,60,85,65,65,8,31,51,21,41,7,14,0,683,7,30,46,0,21,16,11,0,34,29,48,91,66,68,68,24,35,30,33,15,11,0,0
G08000500828002,2012-2016,Colorado,8,Arapahoe County,5,82800,"Block Group 2, Census Tract 828, Arapahoe County, Colorado",895,422,61,41,52,35,0,7,0,25,0,0,0,20,25,30,35,40,21,10,13,0,0,7,0,473,13,0,44,12,8,0,0,46,45,36,96,6,59,0,13,46,21,0,0,10,8,10,0
G08000500828003,2012-2016,Colorado,8,Arapahoe County,5,82800,"Block Group 3, Census Tract 828, Arapahoe County, Colorado",1588,811,49,21,48,46,9,0,0,61,53,67,69,61,45,63,71,23,18,17,0,70,0,20,0,777,52,53,62,13,19,0,12,65,56,45,30,41,47,62,92,8,27,16,0,68,0,9,0
